timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1416843127664,233,HTTP Request,200,OK,Thread Group 1-9,text,true,19114,10,10,26
1416843127780,217,HTTP Request,200,OK,Thread Group 1-3,text,true,19089,10,10,19
1416843127897,217,HTTP Request,200,OK,Thread Group 1-8,text,true,19030,10,10,19
1416843127969,222,HTTP Request,200,OK,Thread Group 1-2,text,true,19081,10,10,21
1416843128095,221,HTTP Request,200,OK,Thread Group 1-7,text,true,19087,10,10,24
1416843128313,216,HTTP Request,200,OK,Thread Group 1-6,text,true,19088,10,10,24
1416843128710,232,HTTP Request,200,OK,Thread Group 1-5,text,true,19071,10,10,19
1416843128787,222,HTTP Request,200,OK,Thread Group 1-4,text,true,19063,10,10,24
1416843128832,214,HTTP Request,200,OK,Thread Group 1-1,text,true,19054,10,10,23
1416843128871,226,HTTP Request,200,OK,Thread Group 1-10,text,true,19076,10,10,19
1416843128899,216,HTTP Request,200,OK,Thread Group 1-9,text,true,19072,10,10,23
1416843128998,216,HTTP Request,200,OK,Thread Group 1-3,text,true,19065,10,10,19
1416843129115,215,HTTP Request,200,OK,Thread Group 1-8,text,true,19106,10,10,21
1416843129192,213,HTTP Request,200,OK,Thread Group 1-2,text,true,19105,10,10,19
1416843129318,235,HTTP Request,200,OK,Thread Group 1-7,text,true,19047,10,10,24
1416843129530,216,HTTP Request,200,OK,Thread Group 1-6,text,true,19140,10,10,24
1416843129943,218,HTTP Request,200,OK,Thread Group 1-5,text,true,19106,10,10,19
1416843130011,222,HTTP Request,200,OK,Thread Group 1-4,text,true,19088,10,10,24
1416843130048,222,HTTP Request,200,OK,Thread Group 1-1,text,true,19088,10,10,24
1416843130098,220,HTTP Request,200,OK,Thread Group 1-10,text,true,19113,10,10,20
1416843130116,216,HTTP Request,200,OK,Thread Group 1-9,text,true,19072,10,10,24
1416843130215,219,HTTP Request,200,OK,Thread Group 1-3,text,true,19072,10,10,19
1416843130332,217,HTTP Request,200,OK,Thread Group 1-8,text,true,19110,10,10,19
1416843130407,218,HTTP Request,200,OK,Thread Group 1-2,text,true,19041,10,10,19
1416843130555,214,HTTP Request,200,OK,Thread Group 1-7,text,true,19063,10,10,25
1416843130748,219,HTTP Request,200,OK,Thread Group 1-6,text,true,19054,10,10,25
1416843131163,215,HTTP Request,200,OK,Thread Group 1-5,text,true,19073,10,10,20
1416843131235,220,HTTP Request,200,OK,Thread Group 1-4,text,true,19087,10,10,24
1416843131271,217,HTTP Request,200,OK,Thread Group 1-1,text,true,19095,10,10,24
1416843131320,221,HTTP Request,200,OK,Thread Group 1-10,text,true,19043,10,10,21
1416843131334,216,HTTP Request,200,OK,Thread Group 1-9,text,true,19079,10,10,24
1416843131435,236,HTTP Request,200,OK,Thread Group 1-3,text,true,19113,10,10,20
1416843131551,219,HTTP Request,200,OK,Thread Group 1-8,text,true,19062,10,10,18
1416843131626,217,HTTP Request,200,OK,Thread Group 1-2,text,true,19016,10,10,20
1416843131770,219,HTTP Request,200,OK,Thread Group 1-7,text,true,19057,10,10,24
1416843131969,220,HTTP Request,200,OK,Thread Group 1-6,text,true,19182,10,10,24
1416843132379,240,HTTP Request,200,OK,Thread Group 1-5,text,true,19124,10,10,19
1416843132456,214,HTTP Request,200,OK,Thread Group 1-4,text,true,19046,10,10,23
1416843132490,227,HTTP Request,200,OK,Thread Group 1-1,text,true,19089,10,10,25
1416843132551,217,HTTP Request,200,OK,Thread Group 1-9,text,true,19088,10,10,24
1416843132543,227,HTTP Request,200,OK,Thread Group 1-10,text,true,19107,10,10,19
1416843132672,219,HTTP Request,200,OK,Thread Group 1-3,text,true,19126,10,10,21
1416843132771,221,HTTP Request,200,OK,Thread Group 1-8,text,true,19078,10,10,19
1416843132845,220,HTTP Request,200,OK,Thread Group 1-2,text,true,19083,10,10,19
1416843132991,216,HTTP Request,200,OK,Thread Group 1-7,text,true,19081,10,10,24
1416843133190,216,HTTP Request,200,OK,Thread Group 1-6,text,true,19055,10,10,23
1416843133620,228,HTTP Request,200,OK,Thread Group 1-5,text,true,19128,10,10,19
1416843133672,219,HTTP Request,200,OK,Thread Group 1-4,text,true,19071,10,10,25
1416843133718,215,HTTP Request,200,OK,Thread Group 1-1,text,true,19070,10,10,25
1416843133770,220,HTTP Request,200,OK,Thread Group 1-9,text,true,19031,10,10,24
1416843133771,222,HTTP Request,200,OK,Thread Group 1-10,text,true,19049,10,10,19
1416843133892,217,HTTP Request,200,OK,Thread Group 1-3,text,true,19097,10,10,19
1416843133994,215,HTTP Request,200,OK,Thread Group 1-8,text,true,19102,10,10,19
1416843134066,223,HTTP Request,200,OK,Thread Group 1-2,text,true,19066,10,10,22
1416843134208,212,HTTP Request,200,OK,Thread Group 1-7,text,true,19025,10,10,24
1416843134407,220,HTTP Request,200,OK,Thread Group 1-6,text,true,19074,10,10,26
1416843134849,226,HTTP Request,200,OK,Thread Group 1-5,text,true,19080,10,10,20
1416843134893,221,HTTP Request,200,OK,Thread Group 1-4,text,true,19056,10,10,30
1416843134935,217,HTTP Request,200,OK,Thread Group 1-1,text,true,19046,10,10,23
1416843135000,221,HTTP Request,200,OK,Thread Group 1-10,text,true,19048,10,10,20
1416843134991,239,HTTP Request,200,OK,Thread Group 1-9,text,true,19061,10,10,25
1416843135110,219,HTTP Request,200,OK,Thread Group 1-3,text,true,19077,10,10,20
1416843135211,214,HTTP Request,200,OK,Thread Group 1-8,text,true,19080,10,10,18
1416843135291,268,HTTP Request,200,OK,Thread Group 1-2,text,true,19065,10,10,19
1416843135421,218,HTTP Request,200,OK,Thread Group 1-7,text,true,19038,10,10,23
1416843135629,221,HTTP Request,200,OK,Thread Group 1-6,text,true,19111,10,10,25
1416843136077,215,HTTP Request,200,OK,Thread Group 1-5,text,true,19061,10,10,19
1416843136115,222,HTTP Request,200,OK,Thread Group 1-4,text,true,20391,10,10,24
1416843136154,228,HTTP Request,200,OK,Thread Group 1-1,text,true,19079,10,10,24
1416843136231,221,HTTP Request,200,OK,Thread Group 1-9,text,true,19160,10,10,23
1416843136222,232,HTTP Request,200,OK,Thread Group 1-10,text,true,19097,10,10,32
1416843136330,219,HTTP Request,200,OK,Thread Group 1-3,text,true,19068,10,10,20
1416843136426,301,HTTP Request,200,OK,Thread Group 1-8,text,true,19063,10,10,104
1416843136560,215,HTTP Request,200,OK,Thread Group 1-2,text,true,19081,10,10,20
1416843136640,232,HTTP Request,200,OK,Thread Group 1-7,text,true,19126,10,10,26
1416843136851,216,HTTP Request,200,OK,Thread Group 1-6,text,true,19063,10,10,24
1416843137294,215,HTTP Request,200,OK,Thread Group 1-5,text,true,19081,10,10,18
1416843137338,215,HTTP Request,200,OK,Thread Group 1-4,text,true,19079,10,10,24
1416843137384,211,HTTP Request,200,OK,Thread Group 1-1,text,true,19062,10,10,23
1416843137456,218,HTTP Request,200,OK,Thread Group 1-10,text,true,19065,10,10,23
1416843137454,242,HTTP Request,200,OK,Thread Group 1-9,text,true,19063,10,10,23
1416843137550,220,HTTP Request,200,OK,Thread Group 1-3,text,true,19134,10,10,20
1416843137728,224,HTTP Request,200,OK,Thread Group 1-8,text,true,19120,10,10,20
1416843137777,216,HTTP Request,200,OK,Thread Group 1-2,text,true,19042,10,10,19
1416843137873,214,HTTP Request,200,OK,Thread Group 1-7,text,true,19071,10,10,25
1416843138069,215,HTTP Request,200,OK,Thread Group 1-6,text,true,19079,10,10,25
1416843138511,215,HTTP Request,200,OK,Thread Group 1-5,text,true,19088,10,10,20
1416843138555,218,HTTP Request,200,OK,Thread Group 1-4,text,true,19113,10,10,26
1416843138597,221,HTTP Request,200,OK,Thread Group 1-1,text,true,19081,10,10,24
1416843138675,218,HTTP Request,200,OK,Thread Group 1-10,text,true,19024,10,10,19
1416843138698,214,HTTP Request,200,OK,Thread Group 1-9,text,true,19069,10,10,24
1416843138772,219,HTTP Request,200,OK,Thread Group 1-3,text,true,19065,10,10,18
1416843138953,217,HTTP Request,200,OK,Thread Group 1-8,text,true,19075,10,10,21
1416843138995,231,HTTP Request,200,OK,Thread Group 1-2,text,true,19082,10,10,18
1416843139089,211,HTTP Request,200,OK,Thread Group 1-7,text,true,19104,10,10,24
1416843139285,214,HTTP Request,200,OK,Thread Group 1-6,text,true,19056,10,10,24
1416843139728,227,HTTP Request,200,OK,Thread Group 1-5,text,true,19064,10,10,19
1416843139774,218,HTTP Request,200,OK,Thread Group 1-4,text,true,19046,10,10,24
1416843139820,218,HTTP Request,200,OK,Thread Group 1-1,text,true,19088,10,10,23
1416843139895,221,HTTP Request,200,OK,Thread Group 1-10,text,true,19098,10,10,18
1416843139914,219,HTTP Request,200,OK,Thread Group 1-9,text,true,19079,10,10,23
1416843139993,218,HTTP Request,200,OK,Thread Group 1-3,text,true,19082,10,10,18
1416843140172,214,HTTP Request,200,OK,Thread Group 1-8,text,true,19103,10,10,19
1416843140227,215,HTTP Request,200,OK,Thread Group 1-2,text,true,19039,10,10,19
1416843140301,220,HTTP Request,200,OK,Thread Group 1-7,text,true,19060,10,10,23
1416843140500,213,HTTP Request,200,OK,Thread Group 1-6,text,true,19098,10,10,24
1416843140957,217,HTTP Request,200,OK,Thread Group 1-5,text,true,19104,10,10,20
1416843140993,215,HTTP Request,200,OK,Thread Group 1-4,text,true,19080,10,10,24
1416843141117,218,HTTP Request,200,OK,Thread Group 1-10,text,true,19083,10,10,19
1416843141040,300,HTTP Request,200,OK,Thread Group 1-1,text,true,19113,10,10,25
1416843141135,231,HTTP Request,200,OK,Thread Group 1-9,text,true,19079,10,10,24
1416843141213,214,HTTP Request,200,OK,Thread Group 1-3,text,true,19126,10,10,18
1416843141388,218,HTTP Request,200,OK,Thread Group 1-8,text,true,19071,10,10,22
1416843141444,218,HTTP Request,200,OK,Thread Group 1-2,text,true,19074,10,10,21
1416843141522,220,HTTP Request,200,OK,Thread Group 1-7,text,true,19071,10,10,24
1416843141714,217,HTTP Request,200,OK,Thread Group 1-6,text,true,19095,10,10,26
1416843142175,220,HTTP Request,200,OK,Thread Group 1-5,text,true,19088,10,10,21
1416843142209,230,HTTP Request,200,OK,Thread Group 1-4,text,true,19072,10,10,24
1416843142336,217,HTTP Request,200,OK,Thread Group 1-10,text,true,19056,10,10,19
1416843142342,217,HTTP Request,200,OK,Thread Group 1-1,text,true,19127,10,10,23
1416843142368,227,HTTP Request,200,OK,Thread Group 1-9,text,true,19079,10,10,23
1416843142428,215,HTTP Request,200,OK,Thread Group 1-3,text,true,19103,10,10,18
1416843142608,213,HTTP Request,200,OK,Thread Group 1-8,text,true,19136,10,10,18
1416843142663,213,HTTP Request,200,OK,Thread Group 1-2,text,true,19130,10,10,19
1416843142744,219,HTTP Request,200,OK,Thread Group 1-7,text,true,19095,10,10,25
1416843142933,215,HTTP Request,200,OK,Thread Group 1-6,text,true,19097,10,10,24
1416843143396,219,HTTP Request,200,OK,Thread Group 1-5,text,true,19080,10,10,20
1416843143440,217,HTTP Request,200,OK,Thread Group 1-4,text,true,19120,10,10,25
1416843143555,214,HTTP Request,200,OK,Thread Group 1-10,text,true,19074,10,10,19
1416843143561,215,HTTP Request,200,OK,Thread Group 1-1,text,true,19096,10,10,26
1416843143597,233,HTTP Request,200,OK,Thread Group 1-9,text,true,19111,10,10,23
